Attraction,Address
 Victoria Memorial,"1, Queen's Way, Maidan, Kolkata, West Bengal 700071, India"
Howrah Bridge,"Foreshore Rd, Howrah, West Bengal 711101, India"
Indian Museum,"27, Jawaharlal Nehru Rd, Colootola, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700016, India"
Dakshineswar Kali Temple,"Dakshineswar, Kolkata, West Bengal 700076, India"
Marble Palace,"46, Muktaram Babu Street, Jorasanko, Kolkata, West Bengal 700007, India"
Mother House (Missionaries of Charity),"54A, A.J.C. Bose Road, Kolkata, West Bengal 700016, India"
St. Paul's Cathedral,"1A, Cathedral Rd, Maidan, Kolkata, West Bengal 700071, India"
Birla Planetarium,"96, Jawaharlal Nehru Rd, Dharmatala, Taltala, Kolkata, West Bengal 700071, India"
College Street,"College St, Kolkata, West Bengal 700073, India"
Princep Ghat,"Prinsep Ghat Rd, Kolkata, West Bengal 700021, India"
